title,link,description,bloggername,bloggerlink,postdate
/ 차가운 바람에 숨어 있다,https://blog.naver.com/gopheritclarisa/224183703054,컴포즈에서 사 온 연한 아아 엄마표 #집밥 _ 닭도리탕 요즘 <b>딸기</b>가 그렇게 좋다.. <b>딸기</b> 이렇게까지... 예지니가 만들어준 레터링<b>케이크</b>가 정말 너무 감동이었던 게.. 내가 지금까지 선물한 레터링<b>케이크</b>만 진짜..... ,나의 무명시절,blog.naver.com/gopheritclarisa,20260214
"파네트리 제과명장 김영모 매장 내부, 아이와 함께 가기 좋은... ",https://blog.naver.com/heeh2222/224183702336,"5 부터 시작합니다 ㄷㄷ 계산대 옆엔 <b>케이크</b>도 팔아요! 성심당에서 파는 <b>딸기</b>, 망고 시루 여기도 있더라고요~~ 요즘 유행하는 두바이 <b>케이크</b>도 있어요 ㅋㅋ 가격 ㄷㄷ 내부 소개 2층 먼저 소개해볼게요! 2층에... ",쭈의 기록장,blog.naver.com/heeh2222,20260214
토쿠시마,https://blog.naver.com/gimyoung0527/224183701937,ㅜ 휴 잘 먹고 잘 지냈으면 좋겠는데 집에 돌아와서는 방글라데시 가족들과 아침에 딴 <b>딸기</b>를 썬 편의점 디저트를 먹고 잤다 빵 올라간 푸딩 드세요 진짜 세상 맛있음^.^b &lt;2/12&gt; 아침부터 언니가 팬<b>케이크</b> 굽고... ,Y,blog.naver.com/gimyoung0527,20260214
[부산강서구 녹산카페] 토북베이커리 / 녹산 김덕규명장... ,https://blog.naver.com/xioioiox/224183701380,"1인 2개 베이커리 명장집 답게 빵종류가 아주아주 다양했어요 소금빵부텀 몽블랑, 명란바게트, 명재다파빵, 꼬기꼬기 등 맛도리 빵들이 가득 하답니당 겨울에만 볼 수 있는 <b>딸기</b> 가득 생크림<b>케이크</b>도 있구요!... ",ෆ JOO Room ෆ,blog.naver.com/xioioiox,20260214
26.01.12~26.01.14 | 일본 오사카 여행 기록(을! 가장한... ,https://blog.naver.com/dms5832/224183701060,ㅋㅋㅋ 또 거셀 등장 ~ 손에 야무지게 든 봉투는 딸기 모찌 &gt;.&lt; 후식은 못 참지. 일본 오사카 여행... 나이스 캐치 ~ 느좋 느좋 거리다가 지쳐서 그냥 <b>딸기 케이크</b> 먹을 수 있는 곳으로 곧장 들어와버리기... ,순간의 기록,blog.naver.com/dms5832,20260214
을지로예쁜카페 1020룸 두쫀쿠 아이와 함께 아쉬운 점,https://blog.naver.com/superstargw/224183701007,두바이초코<b>케이크</b>도 있고 요즘 또 유행이라는 떠먹치 떠먹는 치즈 <b>케이크</b>도 있는 예쁜 베이커리카페... 맛있고 <b>딸기</b>라떼는 아이들이 정말 좋아해서 재주문 하기도 했고요 잘 먹고 잘 놀고 즐거운 시간을 보내긴... ,말하기 Show,blog.naver.com/superstargw,20260214
포항 디저트 맛집 아딥크,https://blog.naver.com/kimmi7360/224183700288,"밥값보다 요즘 더 비싼..커피...<b>케이크</b> 그치만 맛있어. 주문하고 2층으로ㄱㄱ자리 잡고 사진 찍구오, 아아. 콜드브루라떼. 아딥크 크림화이트 바닐라초콜릿. <b>딸기</b> 파스타치오 주문요~~~~ 바닐라 초콜릿 촉쵹맛있고... ",나의기록⏰,blog.naver.com/kimmi7360,20260214
메가커피 신메뉴 &quot;로꾸거 <b>딸기</b>젤라또 콘<b>케이크</b>&quot; 칼로리... ,https://blog.naver.com/kbmkbmkang/224183699076,이름에 <b>딸기</b> 젤라또 <b>케이크</b> 다 들어가 있는데 칼 로리 가볍겠냐고요 저도 처음엔 반쯤 포기하려고했어요 이건 그냥 치팅데이용이겠지 하고요 근데 메가커피 신메뉴 정보 찾아보다가... ,유량로그,blog.naver.com/kbmkbmkang,20260214
제주 착한 가격 업소 900원 빵 삼복당 제과 후기,https://blog.naver.com/dailydaily_hm/224183699219,"메론, <b>딸기</b>쨈, 단팥, 크림빵은 단돈 900원 제사, 각종 단체 행사 간식으로 먹기에도 부담 없을 것... 컵<b>케이크</b>도 4,000원이라니! 컵도 큰 컵이에요 ㅎㅎ 가성비의 끝판왕이에요 저는 크림빵, 꽈배기, 고로케... ",제주이야기,blog.naver.com/dailydaily_hm,20260214
전주디저트 전주카페 오늘머랭 | 생<b>딸기</b> 파블로바 먹어봤니?,https://blog.naver.com/possibleteo/224183698833,전주디저트 생<b>딸기</b> 파블로바는 머랭 베이스 위에 생크림과 <b>딸기</b>가 가득가득 올라가 있어요. 크기도 생각보다 커서 4명이서 먹는데도 남았어요 ㅎㅎ 칼로 <b>케이크</b>를 자르는데 서걱서걱 소리가 나서 바삭한 머랭... ,Possibilitarian Teo,blog.naver.com/possibleteo,20260214
분위기 좋은 제주 레스토랑 '소렉' 스테이크 맛집 콜키지 가능,https://blog.naver.com/junghye0127_/224183698309,"나왔어요 <b>딸기</b>와 블루베리, 사과 그리고 그래놀라가 토핑 되어 있는 하우스샐러드. 맛있어서 한 번 더... 남편에게 다음 제 생일 때 꼭 이 <b>케이크</b>로 선물해달라고 했답니다 소렉에서는 콜키지도 가능해요!... ",ʟ ɪ ꜰ ᴇ ᴛ ʀ ᴀ ᴠ ᴇ ʟ ᴇ ʀ,blog.naver.com/junghye0127_,20260214
"망원동 빈티지 대형 카페 &lt; uig &gt; 티그레, 푸딩 맛집 솔직후기",https://blog.naver.com/godseang/224183696855,"전체적으로 묵직하고 따뜻한 무드가 느껴지는 디저트로, 이름은 푸딩이지만 촉촉한 <b>케이크</b>에... 고소함, <b>딸기</b>의 산뜻함이 같이 느껴지는데 여기가 그냥 스코틀랜드세요•••♥️ <b>딸기</b>도 신선한 거... ",YOMOJOMO GODSEANG,blog.naver.com/godseang,20260214
"새해는 지금부터니까(대구,부산 일상)",https://blog.naver.com/dlsvl0609/224183696912,그랜드파더 케이크하우스 너무 맛있었던 광안리 디저트 카페 그랜드파더케이크하우스 내부... 융드립이랑 <b>딸기케이크</b> 시켰어요. 티클래스 융드립커피 한 입 하자마자 정신이 번쩍 드는 그 느낌을 아시나요?... ,Minilog:),blog.naver.com/dlsvl0609,20260214
콘래드 ZEST 제스트 뷔페 주말 할인 비용 (IFC몰 주차... ,https://blog.naver.com/okkkk-_-/224183696695,컬러가 핑크핑크해서 <b>딸기</b>인가 했는데 복분자였어요 ㅎㅎ 어린이 친구들을 위한 메뉴인가 싶었는데... 빠지고 <b>케이크</b> 종류가 많아 진거 같아요 ㅎㅎ 솔직히...솔직하게 말해서 디저트의 맛은 평범 했어요.... ,오구오구 블로그,blog.naver.com/okkkk-_-,20260214
"남한산성카페, 경기도광주카페 베이커리 맛집 카페숨",https://blog.naver.com/flastork2/224183696461,"있고 <b>딸기케이크</b>, 치즈케이크 등 종류가 있어서 케이크 먹을까 살짝 고민했어요  음료 종류도 많았는데 점심을 먹고 방문해서 따뜻한 아메리카노로 주문했답니다 ☕️☕️ 얼른 따뜻해져서 테라스에서... ",DATE ON,blog.naver.com/flastork2,20260214
<b>딸기 케이크</b>로 유명한 별내 작은 주방,https://blog.naver.com/baguette1euro/224183695968,따뜻한 케이크였다. 너무 달지도 않으면서 과하지 않은 크림과 질 좋은 딸기의 조화가 딱 소박하고 정갈한 맛이었다. 여기는 여러명이서 왁자지껄 즐기기 보다는 나처럼 별내 <b>딸기케이크</b> 맛집을 찾거나 혼자... ,"사부작, 데일리 루틴",blog.naver.com/baguette1euro,20260214
일기,https://blog.naver.com/amalsosa778/224183695182,먹은 <b>딸기</b>빙수 맛있다 소영언니랑 푸파했슴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언니랑 나랑 두명뿐인데 각자 1커피 + 1<b>케이크</b> + 1빵 헤헤 온니 사랑해 유재가 동숲 칩 사줬다 ㅜㅜ 내 동숲... ,nrdkts,blog.naver.com/amalsosa778,20260214
[20% 할인] 투썸 생딸기... 한정 <b>딸기 케이크</b> 이벤트... ,https://blog.naver.com/angel_dad/224183695050,&lt;바로가기&gt; #투썸플레이스 #투썸생<b>딸기케이크</b> #생딸기듬뿍우유생크림 #투썸20프로할인 #투썸이벤트 #투썸핫딜 #ATWOSOMEPLACE #StrawberryMilkCreamCake #KoreaCafeTrend #CakeDiscount... ,angel_dad AppTech,blog.naver.com/angel_dad,20260214
파크하얏트서울 객실18층&amp;룸서비스 솔직후기,https://blog.naver.com/hyoseon0z/224183694688,"어메니티 세면대 옆 거울 세면도구, 헤어드라이기, 수건 티슈, 수건 변기 룸서비스 스테이크 샐러드 <b>딸기케이크</b> 밤 뷰도 아주 멋있어요 낮 보다는 밤이 더 예쁘네요✨️ 침대에 누워도 느낄 수 있는 사진을 잘... ",맛있는 도치네,blog.naver.com/hyoseon0z,20260214
"얼굴 나이 멈추기! 주름, 기미, 노화 막는 꿀팁 대방출",https://blog.naver.com/chiuerhorei/224183694208,"특히, 탄산음료, 과자, <b>케이크</b> 등은 피하는 것이 좋아요. 튀김, 가공식품 역시 활성산소를 증가시켜 피부... 특히, <b>딸기</b>, 블루베리, 브로콜리 등은 피부 건강에 탁월한 효과를 줍니다. 물을 충분히 마시는 것도... ",⠀,blog.naver.com/chiuerhorei,20260214
겨울 부산 바캉스,https://blog.naver.com/yeon0-0/224183693462,초코<b>딸기케이크</b> 저기요 먹자고 부산에서도 두쫀쿠 타령 이백번 한영 “사자… 사” 무슨 탕후루집에서... 좌절 딸기크림치즈라떼 마시면서 아무말토크 어제 새벽에 스카이캡슐 예약하려고 사이트 들어갔는데... ,YUHA,blog.naver.com/yeon0-0,20260214
2월 일상 .,https://blog.naver.com/967452/224183691755,"유주는 ㄹㅇ 입에 안붙어요 ,, 영원히 성찬미세요 ㅠ 허거겅 저번에 사려다 실패했던 <b>딸기</b> 빅토리아 <b>케이크</b> 진욱쿤이 서후라이즈로 사주셨다 ! 금실, 설향, 킹스베리 <b>딸기</b>만 들어간다더니 <b>딸기</b>가 너무너무 맛있솨... ",JJ1N2.SE0N8,blog.naver.com/967452,20260214
명지 국제 신도시 빵집 추천 빵냄시,https://blog.naver.com/rhdns3156/224183691246,빵 <b>딸기</b> 산도 쑥 크림 <b>케이크</b> 브라우니 에그타르트 맛있는 빵 골라와서 뿌듯 에그타르트는 따뜻하고 겉바속촉 고소한 맛이 정말 좋았어요 달달한 에그 크림이 입에서 녹아요 초코 퍼지 브라우니도 극강의... ,무쿼카의 일상,blog.naver.com/rhdns3156,20260214
"[대전] 성심당 시루<b>케이크</b> &lt;<b>딸기</b>시루막내, 말차시루&gt; 가격... ",https://blog.naver.com/jjusamee__/224183689747,"후기 보면 호불호도 갈리고 <b>딸기</b>도 새큼하다는 게 있어서 뽑기 잘되기를 바랐는데, 지금 또 <b>딸기</b> 철이기도 해서 <b>딸기</b>도 정말정말 달았습니다! 우유 말먹하면 맛있다고 해서 남은 <b>케이크</b>는 우유에... ",쭈사미 블로그입니다 *´ސު｀*,blog.naver.com/jjusamee__,20260214
명장이 만드는 명절 떡선물세트 떡맛스러움 의정부떡국떡,https://blog.naver.com/reddo77/224183689165,"라이스<b>케이크</b>로 정했어요. 전국에서 이미 답례떡,선물용 으로 인기가 많다해서 알게됐는데 오전임에도... 설기 응용버전으로 아이들도 먹기 좋게 초코,<b>딸기</b> 제품도 있는데 안에 잼이 가득 발라져있어요.... ",리또의 먹킷리스트,blog.naver.com/reddo77,20260214
"대구빵집 빵장수단팥빵 종로본점 방문기, 대구빵선물세트 고민 끝",https://blog.naver.com/doup1/224183688171,"옛날 크림빵, 땅콩 크림빵, <b>딸기</b> 크림빵 3종 모두 구비되어 있어 바로 겟하였습니다. 옆에 갓 나온... <b>케이크</b>가 9,900원, 티라미수 <b>케이크</b>는 7천 원대였습니다. 일반 빵들도 2~3천 원대인데 크기를 보면 체감 금액이... ",요리·대구맛집·여행을 담은 일상 주스맨,blog.naver.com/doup1,20260214
"투썸 두초생 전화 예약, 솔직후기",https://blog.naver.com/exoeunsong/224183686914,가까움 <b>딸기</b> 11개 올라간 투썸 스초생의 2/3정도 사이즈 같음 미니<b>케이크</b>정도 사이즈인데 가격이 3만원 가까워서 가성비는.. 아빠 생일축하노래 부르고 단면확인 한 결과 ! 가장 아래 카다이프층이 있고 위는... ,언제나 함께인 동댕동당의 이야기,blog.naver.com/exoeunsong,20260214
반려견과 힐링 데이트 남양주 애견 카페 북한강 신상 카페... ,https://blog.naver.com/doou____/224183686440,"식사 브런치메뉴와 커피종류, 제과제빵, 젤라또 종류등 정말 다양합니다 쇼케이스에 <b>케이크</b>종류와 젤라또 종류들이 가득한데 진짜 맛있어 보이더라구요 ~! 저희는 <b>딸기</b>요거트스무디 (9500원) 레몬소르베에이드... ",인생은 빵 고를 때 처럼,blog.naver.com/doou____,20260214
애슐리퀸즈 동아 구미점 애슐리<b>딸기</b>축제 가성비좋은 <b>딸기</b>시즌,https://blog.naver.com/b401b401/224183686351,달콤한 <b>딸기</b>~~~ 매장 곳곳에 달콤한 향이 가득하더라구요~~ 특히 다양한 디저트<b>케이크</b>에 이렇게 <b>딸기</b>페어링을 해서 더 달콤하고 맛있게 즐길수있다는점!!! 애슐리퀸즈<b>딸기</b>축제 진짜 대박!! 요고 저희남편 픽 ㅎㅎ... ,"적당히 벌고, 아주 잘 살기.",blog.naver.com/b401b401,20260214
"안성 <b>딸기</b>힐링팜에서 아이들과 <b>딸기</b> 농장 체험, <b>케이크</b> 만들기",https://blog.naver.com/ksymemory/224183685933,작년에 다녀온 안성 <b>딸기</b> 힐링팜 사촌동생이 안성에 놀러왔는데 <b>딸기</b>농장 체험 예약해두었다고 한다. 아이들과 다녀올 계획이었는데 얼떨결에 나도 같이 가게 되었다.,홀로서기,blog.naver.com/ksymemory,20260214
카페 [디어드립앤베이글] - 생<b>딸기</b>베이글<b>케이크</b>︱드립커피,https://blog.naver.com/comicbook1992/224183685125,- 베이글종류︱생<b>딸기케이크</b>베이글︱베이글센드위치 저랑 아들은 아침마다 베이글을 먹을 만큼 쫄깃한... 이쁘고 맛있고 쫄깃하고 다하는 딸기베이글케이크 - 딸기베이글케이크︱드립커피︱서울성북동맛집... ,E맘e썬의 좌충우돌 추억노트,blog.naver.com/comicbook1992,20260214
"☕️ 쩡버터, 광양 오일장 소금빵 천국, 디저트 천국",https://blog.naver.com/hzoo127/224183685261,"진짜 매번 느끼지만, 넘 좋다구요  <b>딸기</b> 쥬스 5,500 사장님 진짜 <b>딸기</b>밭이 있으신건가요?? 이렇게... 소금빵, 아니 <b>케이크</b>, 아니 디저트, 아니 음료, 다 맛있는 천하제빵빵빵이라구요!! 사장님 새해 복 많이... ",냠냠,blog.naver.com/hzoo127,20260214
용인 기흥 카페 대형 베이커리 카페 떼레노시떼 커피맛집,https://blog.naver.com/wbwbxoxo/224183684817,행복이는 <b>케이크</b>가 먹고싶은지 계속 주위를 어슬렁어슬렁 제가 좋아하는 에그타르트도있구요 <b>딸기</b> 좋아하는 행복이를 위해 과일타르트를 주문해봤어요 메뉴 메뉴는 굉장히 빨리 나왔어요 아무래도 손님이... ,놀러와 쥬토피아,blog.naver.com/wbwbxoxo,20260214
호우 수원 HOU,https://blog.naver.com/jusdelicioustoday/224183684018,콘파냐라떼 (7000) 아메리카노 (5000) 클래식 쇼트 딸기 (11900) 요즘 <b>딸기케이크</b> 가격을 생각하면 정말.. 눈물이  조각케이크 사랑하는 1인으로서 혼자 카페가서 케이크하나랑 아아 마시면 거의 밥값보다 비쌈... ,쥬스의 맛있는 하루 JUSDELICIOUSTODAY,blog.naver.com/jusdelicioustoday,20260214
"원주] <b>딸기 케이크</b>는 구경만, 난 산뜻한 아아 '팡그라미'",https://blog.naver.com/rohati/224183683589,방송 내용을 보면 겨울<b>딸기 케이크</b>와 디저트가 유명한가 봐요. 나는 그냥 리뷰가 많아서 찾아왔지요. 2층 좌석으로 고! 이 카페의 좋은 점은 커피를 5가지 원두 중에서 선택하여 주문할 수 있어요. 별거 아닌 것... ,생활경험 여행자,blog.naver.com/rohati,20260214
제부도 베이커리카페 해솔제빵소 방문 후기,https://blog.naver.com/innnni-/224183684067,"그리고 역시나 두쫀쿠도 있더라고요ㅎㅎ 케이크는 <b>딸기 케이크</b>, 초코 케이크가 있었어요. 저는 <b>딸기 케이크</b>랑 몇 가지 빵을 같이 주문했어요 ㅎㅎ 커피도 함께! 딸기 케잌 정말 맛있어요 역시나... ",Inni's 라이프로그,blog.naver.com/innnni-,20260214
[포항 카페] 재미ㅣ디저트 맛집 내돈내산 후기,https://blog.naver.com/o3o____88/224183682326,"# 오미자 에이드 6,000₩ # 프레지에 9,000₩ 몽블랑, 당근 케이크, 쇼송오뽐므 등 다양한 디저트가 있었지만 딸기의 계절이라 딸기 프레지에를 주문했어요  비주얼부터 압도적인 <b>딸기 케이크</b>입니다. 촘촘하게... ",ψ R E V I E W ψ,blog.naver.com/o3o____88,20260214
재롱잔치부터 <b>케이크</b> 만들기까지,https://blog.naver.com/nielsther/224183682514,"생<b>딸기</b>와 냉동실에 있던 파인애플을 활용해서 <b>케이크</b>를 완성했어요. 다음에는 어떤 과일을 더 넣을까 얘기하면서 만들었는데 키위가 선택이 되었어요. 모양은 솔직히 예쁘지 않았지만, 맛은 정말 훌륭했어요.... ","따뜻한 오늘, 특별한 순간",blog.naver.com/nielsther,20260214
점점 미식일기가 되어가는 블로그,https://blog.naver.com/window_mooni/224183682453,우웩 어제 솔로지옥 보면서 치즈<b>케이크</b> 먹고싶었는데 엄마가 수플레치즈<b>케이크</b> 사서 나눠주고감 나도... <b>딸기</b>말차 시켰는데 <b>딸기</b>가 너무 <b>딸기</b>잼 말차가 너무 텁텁하고 썼다 가루를 들이부음 그래서 우유 조금... ,moonihouse,blog.naver.com/window_mooni,20260214
"깨끗한 피부를 위한 생활 습관 기미, 주근깨, 모공 고민 해결!",https://blog.naver.com/heliometer60322/224183682202,"<b>딸기</b>, 오렌지, 브로콜리 등 비타민 C가 풍부한 음식을 꾸준히 섭취해 보세요. 비타민 E는 항산화 작용을... 탄산음료, 과자, <b>케이크</b> 등의 섭취를 줄이고, 식이섬유가 풍부한 음식을 섭취하여 혈당 수치를... ",Smie,blog.naver.com/heliometer60322,20260214
쿠우쿠우 골드 부천점 <b>딸기</b> 신메뉴 후기✨,https://blog.naver.com/midale6/224183681604,"물러지지도 않고 과즙도 살아있어용 뷔페 딸기라 기대 안 했는데 이 정도면 합격입니다 그 외 남아있던 딸기 메뉴들인데요! <b>딸기 케이크</b>랑 롤케이크는 크림이 가볍고 촉촉해서 딸기랑 잘 어울렸고, 딸기... ",0____<,blog.naver.com/midale6,20260214
너무 괴로울 땐 눈막귀막 해도 돼,https://blog.naver.com/ldo496921/224183681451,"저는 <b>케이크</b> 만들 때 모 햇게요???  모 햇게!! <b>딸기</b> 씻고 자르기... ㅋ  야발 유나가 한 것 : 빵 시트 촉촉하게 하기, 생크림 바르기, 짤 주머니로 생크림 짜기 등등 그냥 전부 다 했다고 생각하면 됩니다. 나 ㄹㅇ... ",나 외계인이 될지도 몰라,blog.naver.com/ldo496921,20260214
신세계강남 스위트파크 디저트 2곳 추천｜기념일·설 선물로... ,https://blog.naver.com/lovin_zip/224183680985,타르트와 크림 바스크 둘 중에 계속 고민하다가 통<b>딸기</b> 크림 바스크 <b>케이크</b>로 선택!  (600원 추가 시 아이스팩 추가 포장도 가능합니다.) 크림이 과하지 않고 과일이 싱싱해서 상큼하더라고요. 기념일 디저트로... ,1903 집의 기록,blog.naver.com/lovin_zip,20260214
베스킨라빈스 100가지 맛 가능한 매장 직접 다녀온후기... ,https://blog.naver.com/interior_son/224183680974,뉴욕치즈<b>케이크</b> 부드럽고 꾸덕해서 기본픽 실패 없는 맛  사진 예쁘고 인기 많은 맛 1. 베리베리 스트로베리 <b>딸기</b> 덩어리 많아서 인기 2. 레인보우 샤베트 상큼한 맛 (느끼함 잡아줌) 3.요거트 아이스크림... ,인테리어디자이너 손실장,blog.naver.com/interior_son,20260214
[현대 판교 팝업] 그레이펭귄 두바이 쫀득 쿠키 &amp; 이스터 서울... ,https://blog.naver.com/1223angel/224183679494,"매장 정보 및 위치 대표 메뉴: 두바이 쫀득 쿠키 (1개 7,500원) 팝업 위치: 지하 1층 마듀(MARDUE) <b>케이크</b>... 대왕 <b>딸기</b> 제품 등이 있어요. 포장: 3/6/9개 단위로 깔끔하게 포장 가능해서 디저트 선물로 좋을 거... ",소녀감성,blog.naver.com/1223angel,20260214
260108,https://blog.naver.com/blogcxaezin/224183680166,DIY <b>케이크</b> 만들기 !! 송이랑 같이 <b>케이크</b> 만들로 갔던 날  사실 크리스마스때 크리스마수<b>케이크</b>... 고생 끝에 결국 구해냈다 // 두쫀쿠는 집 와서 <b>딸기</b>와 함께 흡입!! 뽑기방도 함 들러줬다 어차피 못 뽑지만... ,blogcxaezin님의 블로그,blog.naver.com/blogcxaezin,20260214
"[대전 디저트] <b>딸기</b>시루의 유혹, 성심당 케익부띠끄... ",https://blog.naver.com/dailyium_/224183679963,"타르트 &amp; 컵<b>케이크</b> 홀<b>케이크</b>가 부담스럽다면 형형색색의 타르트와 조각 <b>케이크</b>를 공략해 보세요. 1월 3일 방문 당시에도 <b>딸기</b>, 청포도 등 과일이 듬뿍 올라간 타르트들이 정말 예뻤답니다.  방문 꿀팁! • 결제... ",데일리움,blog.naver.com/dailyium_,20260214
2026년 1월 일상기록,https://blog.naver.com/cchhaannn/224183678841,<b>딸기</b>찹쌀모찌가 더 나은듯 하다ㅋ 딸은 학원가고 아들은 전지훈련가서 저녁밥은 남편이랑 나랑 둘이서 먹음 간단하게 고추잡채밀키트로 해결! 딸이랑 둘이서 금오산 파스쿠찌에서 카공 요즘은 조각<b>케이크</b> 보다... ,민루니의 소소한 일상 :D,blog.naver.com/cchhaannn,20260214
마음 가벼워지는 취미를 위한 과일 요리 완벽 가이드,https://blog.naver.com/size4511/224183624555,"신선한 과일은 필수이며, 사과, 바나나, <b>딸기</b>, 오렌지 등 다양한 종류를 준비할 수 있습니다. 이 외에도... 또한, 과일 타르트나 <b>케이크</b>를 만들어 보는 것도 좋습니다. 이처럼 오븐에서 만드는 과일 요리는 식사를... ",size4511님의블로그,blog.naver.com/size4511,20260214
"오로라<b>케이크</b>하우스 연남 오로라<b>케이크</b>하우스, 예약 필수",https://blog.naver.com/lettuce0904/224182436715,"오로라<b>케이크</b>하우스 연남 오로라<b>케이크</b>하우스 연남 가격, 위치, 정보는? 서울 연남동에서 맛있는... 주문했는데 <b>딸기</b>도 크림도 너무 맛있어요 ㅜㅜ 사장님 너무 친절하고 세심하게 챙겨주셔서 더 더... ",전국 핫플레이스,blog.naver.com/lettuce0904,20260214
제주 진진제과 팥절미 소보로 후기 | 제주 또또또간집 베이커리... ,https://blog.naver.com/gowitheflow/224178605962,"<b>딸기</b>우유진진샌드 (6,900원) 베리베리초코팝진진샌드 (7,200원) 초나딸진진샌드(7,200원) 얼그레이/쑥/초코 파운드, 뚱샌드쿠키, 로투스 떠먹케, 로투스쫀득치즈<b>케이크</b> 화이트롤 종류 | 피스타치오롤... ",나만의 서제(서울•제주),blog.naver.com/gowitheflow,20260214
